Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
US,12/1/2022,2022,US 202217883436 A,PAYLOAD SELECTION TO TREAT MULTIPLE PLANT OBJECTS HAVING DIFFERENT ATTRIBUTES,"The disclosure relates generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include identifying a subset of payloads to provide one or more actions based on data representing a policy for one or more subsets of agricultural objects, causing one or more cartridges to be charged based on the subset of payloads, and, and implementing one or more cartridges at an agricultural projectile delivery system.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,,Patent Application,A01C21/007;;A01B79/005;;A01C21/005;;A01B69/001;;A01B79/005;;A01B79/02;;A01B69/001;;A01C21/007;;A01C21/005;;G05D1/0274;;G05D2201/0201,A01C21/00;;A01B69/00;;A01B79/00;;A01B79/02;;G05D1/02,PENDING,,,,
US,7/21/2022,2022,US 202217707769 A,MICRO-PRECISION APPLICATION OF MULTIPLE TREATMENTS TO AGRICULTURAL OBJECTS,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include, receiving data representing a policy specifying a type of action for an agricultural object, selecting an emitter with which to perform a type of action for the agricultural object as one of one or more classified subsets, and configuring the agricultural projectile delivery system to activate an emitter to propel an agricultural projectile to intercept the agricultural object.",VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,A01B69/001;;A01B79/005;;A01C21/005;;A01M7/0089;;G05D1/0212;;G05D1/0246;;G05D2201/0201;;A01M21/043;;G06V20/38;;A01C21/007;;G05D2201/0201;;G05D1/0246;;G05D1/0212;;A01B69/004;;G06V20/188;;G06F18/243;;A01B69/001;;G06V20/38,G06V20/10;;A01B69/00;;A01C21/00;;G05D1/02;;G06K9/62,ACTIVE,,,,
US,6/24/2021,2021,US 201916724265 A,CALIBRATION OF SYSTEMS TO DELIVER AGRICULTURAL PROJECTILES,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include identifying an emitter of an agricultural projectile delivery system to calibrate a trajectory of an agricultural projectile to intercept a target, predicting a projectile impact site relative to the reference of alignment, determining a calibration parameter to align the projectile impact site and the target, and adjusting the trajectory based on the one or more calibration parameters.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,A01B79/005;;A01M7/0089;;A01B69/001;;A01B79/005;;A01B79/02;;A01M7/0096;;B05B9/06,A01B79/00;;A01B73/00;;A01B79/02,PENDING,,,,
US,6/24/2021,2021,US 201916724269 A,OBSCURANT EMISSION TO ASSIST IMAGE FORMATION TO AUTOMATE AGRICULTURAL MANAGEMENT AND TREATMENT,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include calculating an amount of light originating from a light source sensed at a location in which an agricultural object is interposed between the light source and an image capture device, causing emission of an obscurant, and directing the obscurant to a region interposed between the light source and the agricultural object.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,A01M7/0014;;A01B79/005;;A01C21/005;;A01B69/001;;B05B1/02;;B05B12/122;;B05B13/005;;H04N23/90;;B05B12/12;;G06T1/0014;;A01M7/0014;;B05B13/005;;A01C23/00;;B05B17/06;;H04N23/80,B05B12/12;;B05B13/00;;B05B17/06;;G06T1/00;;H04N5/232,ACTIVE,,,,
EP,6/27/2018,2018,EP 16206777 A,METHOD FOR PREDICTION OF SOIL AND/OR PLANT CONDITION,"The present invention relates to a method and system for predicting soil and/or plant condition in precision agriculture with a classification of measurement data for providing an assignment of a measurement parcel to classes of interest according to claim 1 and claim 8, respectively, particularly wherein the assignment is used for providing action recommendations, particularly in real time or close to real time, to a farmer and/or to an agricultural device based on acquired measurement data, particularly remote sensing data, and wherein a classification model is trained by a machine learning algorithm, e.g. relying on deep learning for supervised and/or unsupervised learning, and is potentially continuously refined and adapted thanks to a feedback procedure.",HEXAGON TECHNOLOGY CT GMBH,REIMANN BERND;;HEILI ALEXANDRE;;MOHAN DHIRAJ;;DEBONI JOSÉ,,Patent Application,G06N20/00;;G06Q10/04;;G06Q50/02;;G06Q10/06;;G06Q50/02;;A01B79/005;;G06N20/00;;G06N20/00;;G06Q10/06;;G06Q50/02;;A01B79/005;;Y02A40/10;;A01G7/00;;A01G25/167;;G06N5/04,G06Q10/00;;A01G25/16;;C12M1/34;;G06Q10/06,DISCONTINUED,,,,
US,9/6/2022,2022,US 201715853466 A,Method for prediction of soil and/or plant condition,"A method and system for predicting soil and/or plant condition in precision agriculture with a classification of measurement data for providing an assignment of a measurement parcel to classes of interest. The assignment is used for providing action recommendations, particularly in real time or close to real time, to a farmer and/or to an agricultural device based on acquired measurement data, particularly remote sensing data, and wherein a classification model is trained by a machine learning algorithm, e.g. relying on deep learning for supervised and/or unsupervised learning, and is potentially continuously refined and adapted thanks to a feedback procedure.",HEXAGON TECHNOLOGY CT GMBH,REIMANN BERND;;HEILI ALEXANDRE;;MOHAN DHIRAJ;;DEBONI JOSÉ,HEXAGON TECHNOLOGY CENTER GMBH (2016-05-12),Granted Patent,G06N20/00;;G06Q10/04;;G06Q50/02;;G06Q10/06;;G06Q50/02;;A01B79/005;;G06N20/00;;G06N20/00;;G06Q10/06;;G06Q50/02;;A01B79/005;;Y02A40/10;;A01G7/00;;A01G25/167;;G06N5/04,A01G7/00;;A01B79/00;;A01G25/16;;G06N5/04;;G06N20/00;;G06Q10/06;;G06Q50/02,ACTIVE,,,,
US,3/21/2023,2023,US 202117147048 A,Predicting soil organic carbon content,"Implementations are described herein for predicting soil organic carbon (“SOC”) content for agricultural fields detected in digital imagery. In various implementations, one or more digital images depicting portion(s) of one or more agricultural fields may be processed. The one or more digital images may have been acquired by a vision sensor carried through the field(s) by a ground-based vehicle. Based on the processing, one or more agricultural inferences indicating agricultural practices or conditions predicted to affect SOC content may be determined. Based on the agricultural inferences, one or more predicted SOC measurements for the field(s) may be determined.",X DEV LLC;;MINERAL EARTH SCIENCES LLC,GUO CHENG-EN;;YANG JIE;;YUAN ZHIQIANG;;GRANT ELLIOTT,X DEVELOPMENT LLC (2021-01-12);;MINERAL EARTH SCIENCES LLC (2022-12-19),Granted Patent,G06V10/62;;G06V10/82;;G06V20/56;;G06V20/68;;G06V20/188;;A01B79/005;;G01N33/24;;G06T7/0004;;G06T2207/30188,A01B79/00;;G01N33/24;;G06T7/00;;G06V20/10,ACTIVE,,,,
US,6/24/2021,2021,US 201916724268 A,MANAGING STAGES OF GROWTH OF A CROP WITH MICRO-PRECISION VIA AN AGRICULTURAL TREATMENT DELIVERY SYSTEM,"Various embodiments relate generally to computer vision and automation to autonomously identify and deliver for application a treatment to an object among other objects, data science and data analysis, including machine learning, deep learning, and other disciplines of computer-based artificial intelligence to facilitate identification and treatment of objects, and robotics and mobility technologies to navigate a delivery system, more specifically, to an agricultural delivery system configured to identify and apply, for example, an agricultural treatment to an identified agricultural object. In some examples, a method may include identifying an agricultural object being associated with a subset of agricultural objects, identifying an action corresponding to a subset of agricultural objects responsive, selecting an emitter with which to perform an action associated with the agricultural object, configuring an agricultural projectile delivery system to activate an emitter to propel an agricultural projectile to intercept an agricultural object.",SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI;;VERDANT ROBOTICS INC,SIBLEY GABRIEL THURSTON;;GARNER CURTIS DALE;;MICHELIN ANDRE ROBERT DANIEL;;IBARRIA LORENZO;;LEGER PATRICK CHRISTOPHER;;REWIS BENJAMIN;;YAN SHI,VERDANT ROBOTICS INC (2020-04-21),Patent Application,G05D1/0219;;G05D2201/0201;;A01G17/005;;G06T7/0012;;G06T2207/30188;;A01M7/0089;;A01B79/005;;A01M21/043;;A01G17/005;;G06T7/0012;;G06T2207/30128;;G05D2201/0201;;G05D1/0044;;G06T2207/30188,A01G17/00;;G06T7/00,PENDING,,,,
WO,7/4/2019,2019,US 2018/0065564 W,CAPTURE OF GROUND TRUTHED LABELS OF PLANT TRAITS METHOD AND SYSTEM,"In embodiments, acquiring sensor data associated with a plant growing in a field, and analyzing the sensor data to extract, while in the field, one or more phenotypic traits associated with the plant from the sensor data. Indexing, while in the field, the one or more phenotypic traits to one or both of an identifier of the plant or a virtual representation of a part of the plant, and determining one or more plant insights based on the one or more phenotypic traits, wherein the one or more plant insights includes information about one or more of a health, a yield, a planting, a growth, a harvest, a management, a performance, and a state of the plant. One or more of the health, yield, planting, growth, harvest, management, performance, and the state of the plant are included in a plant insights report that is generated.",X DEV LLC,REGAN WILLIAM R;;BITTERMAN MATTHEW A;;SCHILLINGS BENOIT G;;BROWN DAVID R;;GRANT ELLIOT,,Patent Application,A01G7/00;;G06V20/10;;G06V10/774;;G06N3/045;;G06N3/044;;A01G7/00;;B64C39/024;;G06N3/08;;G06N3/04;;G01N2021/8466;;G06V20/10;;G06V20/188;;G06F18/214;;G06N3/044;;G06N3/045;;B64U2101/30;;G06V10/774,G06Q50/02;;C12Q1/6809;;C12Q1/6895,PENDING,,,,
US,11/3/2020,2020,US 201916681520 A,Capture of ground truthed labels of plant traits method and system,"In embodiments, acquiring sensor data associated with a plant growing in a field, and analyzing the sensor data to extract, while in the field, one or more phenotypic traits associated with the plant from the sensor data. Indexing, while in the field, the one or more phenotypic traits to one or both of an identifier of the plant or a virtual representation of a part of the plant, and determining one or more plant insights based on the one or more phenotypic traits, wherein the one or more plant insights includes information about one or more of a health, a yield, a planting, a growth, a harvest, a management, a performance, and a state of the plant. One or more of the health, yield, planting, growth, harvest, management, performance, and the state of the plant are included in a plant insights report that is generated.",X DEV LLC,REGAN WILLIAM R;;BITTERMAN MATTHEW A;;SCHILLINGS BENOIT G;;BROWN DAVID R;;GRANT ELLIOTT,X DEVELOPMENT LLC (2018-01-02);;MINERAL EARTH SCIENCES LLC (2022-12-19),Granted Patent,A01G7/00;;G06V20/10;;G06V10/774;;G06N3/045;;G06N3/044;;A01G7/00;;B64C39/024;;G06N3/08;;G06N3/04;;G01N2021/8466;;G06V20/10;;G06V20/188;;G06F18/214;;G06N3/044;;G06N3/045;;B64U2101/30;;G06V10/774,A01G7/00;;B64C39/02;;G01N21/84;;G06K9/00;;G06K9/62;;G06N3/04;;G06N3/08,ACTIVE,,,,
